Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Season
Noël Soumah,153454,,,"Dec 21, 1994",30,1.85,Senegal,Senegal,Centre-Back,Defensive Midfield,Retired,KVC Westerlo,"Jul 1, 2022",,,2016-2017
Andy Kawaya,203342,,,"Aug 23, 1996",28,1.74,Belgium,,Left Winger,,Retired,CyD Leonesa,"Jan 25, 2024",,,2016-2017
Rodgers Kola,80383,,,"Jul 4, 1989",36,1.88,Zambia,,Centre-Forward,,Zanaco FC,,,"Feb 7, 2024",-,2016-2017
William,22720,,,"Feb 7, 1985",40,1.85,Brazil,,Centre-Back,,Vilarinho,,,"Jul 1, 2025","Jun 30, 2026",2016-2017
Nana Ampomah,429086,€100k,"May 12, 2025","Jan 2, 1996",29,1.75,Ghana,Ghana,Left Winger,"Centre-Forward, Second Striker",Forge FC,,,"Feb 1, 2024","Dec 31, 2025",2016-2017
Elohim Rolland,351837,,,"Mar 3, 1989",36,1.84,France,"France, Algeria",Defensive Midfield,"Central Midfield, Attacking Midfield",Unknown,FC Bondues,"Jul 1, 2023",,,2016-2017
Steve De Ridder,41818,,,"Feb 25, 1987",38,1.78,Belgium,Belgium,Central Midfield,"Defensive Midfield, Attacking Midfield",Without Club,KMSK Deinze,"Dec 18, 2024",,,2016-2017
Yanno Vanwelkenhuysen,414162,,,"Mar 28, 1997",28,,Belgium,,Goalkeeper,,KVV Zepperen Br,,,"Jul 1, 2022","Jun 30, 2027",2016-2017
Nathan de Medina,285951,€100k,"Jun 12, 2025","Oct 8, 1997",27,1.83,Belgium,,Centre-Back,,Without Club,Partizan,"Jul 1, 2025",,,2016-2017
Alexander Scholz,153582,€1.50m,"May 28, 2025","Oct 24, 1992",32,1.89,Denmark,,Centre-Back,,FC Tokyo,,,"Jun 11, 2025",-,2016-2017
Aliko Bala,381360,,,"Feb 27, 1997",28,1.8,Nigeria,Nigeria,Centre-Forward,"Left Winger, Right Winger",Al-Ettihad Club,,,"Aug 1, 2024",-,2016-2017
Alessandro Cerigioni,133480,,,"Sep 30, 1992",32,1.82,Belgium,"Italy, Belgium",Centre-Forward,"Right Winger, Second Striker",Weerst. Koersel,,,"Jul 1, 2023",-,2016-2017
Hervé Matthys,203558,€600k,"Jun 6, 2025","Jan 19, 1996",29,1.86,Belgium,Belgium,Centre-Back,Left-Back,Motor Lublin,,,"Jan 23, 2025","Jun 30, 2026",2016-2017
Ayanda Patosi,187744,,,"Oct 31, 1992",32,1.74,South Africa,South Africa,Attacking Midfield,"Left Winger, Right Winger",Without Club,Foolad,"Jan 25, 2023",,,2016-2017
Anthony Van Loo,49641,,,"Oct 5, 1988",36,1.76,Belgium,,Right-Back,,Retired,KV Kortrijk,"Nov 12, 2018",,,2016-2017
Davy De fauw,19312,,,"Jul 8, 1981",44,1.85,Belgium,,Right-Back,,Retired,Zulte Waregem,"Jul 1, 2020",,,2016-2017
Mathew Ryan,128969,€2.50m,"Jun 3, 2025","Apr 8, 1992",33,1.84,Australia,"Australia, Scotland",Goalkeeper,,Without Club,Lens,"Jul 1, 2025",,,2016-2017
Jean-François Gillet,22149,,,"May 31, 1979",46,1.81,Belgium,Belgium,Goalkeeper,,Retired,Standard Liège,"Jul 1, 2021",,,2016-2017
Steve Ryckaert,314975,,,"Jun 29, 1998",27,1.85,Belgium,Belgium,Centre-Back,Left-Back,SK Londerzeel,,,"Jan 15, 2025","Jun 30, 2026",2016-2017
Steven De Petter,41100,,,"Nov 22, 1985",39,1.81,Belgium,,Defensive Midfield,,Retired,Sint-Truiden,"Jul 1, 2020",,,2016-2017
Jorge Pulido,67546,€600k,"Jun 24, 2025","Apr 8, 1991",34,1.86,Spain,,Centre-Back,,SD Huesca,,,"Jul 7, 2017","Jun 30, 2026",2016-2017
Sander Berge,333014,€25.00m,"May 30, 2025","Feb 14, 1998",27,1.95,Norway,,Defensive Midfield,,Fulham,,,"Aug 22, 2024","Jun 30, 2029",2016-2017
Sidy Sarr,364233,€250k,"Jun 3, 2025","Jun 5, 1996",29,1.96,Senegal,,Defensive Midfield,,Without Club,AS Soliman,"Jul 1, 2025",,,2016-2017
David Rozehnal,9659,,,"Jul 5, 1980",45,1.91,Czech Republic,,Centre-Back,,Kozusany,,,"Apr 4, 2018",-,2016-2017
Béni Badibanga,347625,€100k,"May 12, 2025","Feb 19, 1996",29,1.76,DR Congo,"DR Congo, Belgium",Left Winger,"Right Winger, Attacking Midfield",Without Club,Forge FC,"Jan 6, 2025",,,2016-2017
João Carlos,15018,,,"Jan 1, 1982",43,1.89,Brazil,,Centre-Back,,Retired,Madureira,"May 1, 2018",,,2016-2017
Holly Tshimanga,249566,,,"Apr 25, 1997",28,,Belgium,,Left Winger,,SK Londerzeel,,,"Jul 1, 2024","Jun 30, 2026",2016-2017
Jonathan Bolingi,315337,€50k,"Jun 12, 2025","Jun 30, 1994",31,1.9,DR Congo,"Zaire, DR Congo",Centre-Forward,"Left Winger, Right Winger",Without Club,Vojvodina,"Jul 1, 2025",,,2016-2017
Joseph Biersard,110369,,,"Apr 29, 1991",34,1.84,Belgium,,Goalkeeper,,R Lierneux FC,,,"Jul 1, 2024",-,2016-2017
Roman Bezus,97567,€150k,"May 29, 2025","Sep 26, 1990",34,1.85,Ukraine,"Ukraine, UdSSR",Attacking Midfield,"Second Striker, Central Midfield",Without Club,Omonia Nicosia,"Jul 1, 2025",,,2016-2017
Siebe Blondelle,33707,,,"Apr 20, 1986",39,1.85,Belgium,Belgium,Centre-Back,"Left-Back, Defensive Midfield",Retired,KMSK Deinze,"Jul 1, 2023",,,2016-2017
Peter Olayinka,248393,€4.00m,"Jun 12, 2025","Nov 16, 1995",29,1.88,Nigeria,Nigeria,Left Winger,"Centre-Forward, Right Winger",Red Star,,,"Jul 1, 2023","Jun 30, 2026",2016-2017
Ibrahim Rabiu,62337,,,"Mar 15, 1991",34,1.68,Nigeria,Nigeria,Central Midfield,Attacking Midfield,Retired,Slo. Bratislava,"Jan 16, 2023",,,2016-2017
Michiel Jonckheere,150711,,,"Jan 3, 1990",35,1.8,Belgium,Belgium,Central Midfield,"Attacking Midfield, Left Winger",Retired,KSV Bredene,"Jul 1, 2023",,,2016-2017
Nicolas Verdier,216548,,,"Jan 17, 1987",38,1.87,France,,Centre-Forward,,Retired,Cannes,"Jul 1, 2021",,,2016-2017
Idriss Saadi,111057,,,"Feb 8, 1992",33,1.8,Algeria,,Centre-Forward,,Retired,Andrézieux,"Jan 1, 2025",,,2016-2017
Nikola Storm,183120,€2.00m,"Jun 12, 2025","Sep 30, 1994",30,1.78,Belgium,,Left Winger,,KV Mechelen,,,"Jul 1, 2018","Jun 30, 2026",2016-2017
Lukas Van Eenoo,90478,€250k,"Apr 24, 2025","Feb 6, 1991",34,1.75,Belgium,Belgium,Central Midfield,"Defensive Midfield, Left Midfield",Patro Eisden,,,"Jan 15, 2024","Jun 30, 2026",2016-2017
Athanasios Papazoglou,42938,,,"Mar 30, 1988",37,1.95,Greece,,Centre-Forward,,Without Club,Thermaikos,"Jul 1, 2024",,,2016-2017
Ibrahima Seck,209933,,,"Aug 10, 1989",35,1.94,Senegal,,Defensive Midfield,,Without Club,US Créteil-L,"Jul 1, 2025",,,2016-2017
Birger Verstraete,234193,€1.80m,"Jun 12, 2025","Apr 16, 1994",31,1.74,Belgium,Belgium,Defensive Midfield,Central Midfield,OH Leuven,,,"Jul 10, 2024","Jun 30, 2027",2016-2017
Kristof D'Haene,156496,,,"Jun 6, 1990",35,1.68,Belgium,Belgium,Left-Back,"Left Winger, Left Midfield",Retired,SK Roeselare,"Oct 7, 2023",,,2016-2017
Thomas Matton,42737,,,"Oct 24, 1985",39,1.8,Belgium,,Attacking Midfield,,Retired,KAA Gent,"Dec 8, 2017",,,2016-2017
Dorin Rotariu,250573,€300k,"Jun 25, 2025","Jul 29, 1995",29,1.8,Romania,Romania,Right Winger,"Left Winger, Attacking Midfield",Igdir FK,,,"Jul 15, 2025","Jun 30, 2026",2016-2017
Silas Gnaka,481091,€1.50m,"Jun 19, 2025","Dec 18, 1998",26,1.79,Cote d'Ivoire,"Belgium, Cote d'Ivoire",Defensive Midfield,"Central Midfield, Centre-Back",1.FC Magdeburg,,,"Jul 1, 2022","Jun 30, 2026",2016-2017
Frank Boeckx,13271,,,"Sep 27, 1986",38,1.83,Belgium,,Goalkeeper,,Retired,RSC Anderlecht,"Jul 1, 2020",,,2016-2017
Emir Kujovic,47199,,,"Jun 22, 1988",37,,Sweden,"Sweden, Jugoslawien (SFR), Montenegro",Centre-Forward,,Retired,Djurgården,"Jan 1, 2022",,,2016-2017
Georgios Galitsios,29894,,,"Jul 6, 1986",39,1.83,Greece,"Greece, Belgium",Right-Back,"Centre-Back, Left-Back",Retired,Panionios,"Jul 1, 2022",,,2016-2017
Edmílson Junior,237846,€2.50m,"May 28, 2025","Aug 19, 1994",30,1.8,Qatar,,Left Winger,,Al-Duhail SC,,,"Aug 2, 2018",-,2016-2017
Terry Osei-Berkoe,356139,,,"Jan 9, 1998",27,1.74,Belgium,"Belgium, Ghana",Right Winger,"Left Winger, Attacking Midfield",Sport. Hasselt,,,"Jul 1, 2024","Jun 30, 2026",2016-2017
Mijat Maric,6666,,,"Apr 30, 1984",41,1.88,Switzerland,,Centre-Back,,Retired,FC Lugano,"Jul 1, 2022",,,2016-2017
Dylan Seys,323788,,,"Sep 26, 1996",28,,Belgium,Belgium,Right Winger,"Left Winger, Centre-Forward",Ingelmunster,,,"Jul 1, 2025","Jun 30, 2026",2016-2017
Siebe Horemans,314915,€3.50m,"May 28, 2025","Jun 2, 1998",27,1.86,Belgium,Belgium,Right-Back,Centre-Back,FC Utrecht,,,"Jul 1, 2024","Jun 30, 2027",2016-2017
José Naranjo,272679,€400k,"Apr 4, 2025","Jul 28, 1994",30,1.87,Spain,Spain,Left Winger,"Centre-Forward, Right Winger",Without Club,UD Ibiza,"Jan 17, 2025",,,2016-2017
Djené,221150,€1.80m,"Jun 9, 2025","Dec 31, 1991",33,1.78,Togo,Togo,Centre-Back,"Right-Back, Defensive Midfield",Getafe,,,"Jul 24, 2017","Jun 30, 2026",2016-2017
Moussa Wagué,364240,€500k,"May 23, 2025","Oct 4, 1998",26,1.77,Senegal,,Right-Back,,Panserraikos,,,"Sep 11, 2024","Jun 30, 2026",2016-2017
Boli Bolingoli,168156,€500k,"Jun 12, 2025","Jul 1, 1995",30,1.81,Belgium,,Left-Back,,Standard Liège,,,"Jul 5, 2024","Jun 30, 2026",2016-2017
Claudemir,68275,,,"Mar 27, 1988",37,1.85,Brazil,Brazil,Defensive Midfield,"Central Midfield, Right Midfield",GD São-Carlense,,,"Jun 6, 2024",-,2016-2017
Ntuthuko Radebe,233086,,,"Sep 29, 1994",1994,1.65,South Africa,,Left-Back,,,,,,,2016-2017
Gertjan De Mets,42704,,,"Apr 2, 1987",38,1.76,Belgium,Belgium,Defensive Midfield,"Right-Back, Right Midfield",Retired,Zulte Waregem,"Jul 1, 2019",,,2016-2017
Christian Luyindama,262793,€100k,"Apr 4, 2025","Jan 8, 1994",31,1.91,DR Congo,"Zaire, DR Congo",Centre-Back,Defensive Midfield,Without Club,Galatasaray,"Jan 1, 2024",,,2016-2017
Cyriac,77449,,,"Aug 15, 1990",34,1.73,Cote d'Ivoire,"Belgium, Cote d'Ivoire",Left Winger,"Centre-Forward, Second Striker",Retired,Sivasspor,"Jan 31, 2022",,,2016-2017
Ighodaro Osaguona,339487,,,"Oct 10, 1990",34,1.94,Nigeria,,Centre-Forward,,Without Club,Da Nang FC,"Jul 21, 2022",,,2016-2017
Jordi Vanlerberghe,235275,€2.00m,"Jun 16, 2025","Jun 27, 1996",29,1.89,Belgium,,Centre-Back,,Bröndby IF,,,"Jan 29, 2024","Jun 30, 2027",2016-2017
Danilo Barbosa,273438,€2.50m,"Jun 6, 2025","Feb 28, 1996",29,1.83,Brazil,Brazil,Defensive Midfield,"Central Midfield, Centre-Back",Botafogo,,,"Aug 12, 2022","Jun 30, 2025",2016-2017
Kjetil Borry,277272,€300k,"Apr 24, 2025","Aug 16, 1994",30,1.9,Belgium,Belgium,Centre-Back,Left-Back,Patro Eisden,,,"Jul 1, 2024","Jun 30, 2025",2016-2017
Helibelton Palacios,211389,€550k,"Jun 20, 2025","Jun 11, 1993",32,1.81,Colombia,,Right-Back,,Millonarios,,,"Feb 7, 2025","Dec 31, 2025",2016-2017
William Dutoit,156384,€50k,"Apr 4, 2025","Sep 18, 1988",36,1.82,France,,Goalkeeper,,Without Club,KMSK Deinze,"Dec 18, 2024",,,2016-2017
Alexandru Chipciu,64126,€350k,"Jun 10, 2025","May 18, 1989",36,1.76,Romania,,Left-Back,,U Cluj,,,"Jul 1, 2022","Jun 30, 2026",2016-2017
Leandro Trossard,144028,€22.00m,"May 30, 2025","Dec 4, 1994",30,1.72,Belgium,Belgium,Left Winger,"Second Striker, Centre-Forward",Arsenal,,,"Jan 20, 2023","Jun 30, 2026",2016-2017
Wouter Biebauw,19896,,,"May 21, 1984",41,1.88,Belgium,Belgium,Goalkeeper,,Retired,Beerschot VA,"Jul 1, 2022",,,2016-2017
Andy Nájar,145838,€400k,"Jun 5, 2025","Mar 16, 1993",32,1.71,Honduras,,Right-Back,,Nashville,,,"Jan 31, 2025","Dec 31, 2025",2016-2017
Timothy Derijck,31131,,,"May 25, 1987",38,1.85,Belgium,,Centre-Back,,Retired,ADO Den Haag,"Jul 1, 2024",,,2016-2017
Iebe Swers,268122,€200k,"Dec 11, 2024","Dec 27, 1996",28,1.85,Belgium,,Right-Back,,Without Club,Jong KVM,"Jul 1, 2025",,,2016-2017
Mahmoud Trezeguet,234189,€5.00m,"May 28, 2025","Oct 1, 1994",30,1.8,Egypt,,Left Winger,,Ahly SC,,,"Jun 1, 2025","Jun 30, 2030",2016-2017
Brecht Capon,42703,,,"Apr 22, 1988",37,1.79,Belgium,Belgium,Right-Back,"Centre-Back, Right Winger",Retired,KV Oostende,"Jul 1, 2023",,,2016-2017
Lukasz Teodorczyk,157849,,,"Jun 3, 1991",34,1.88,Poland,,Centre-Forward,,Retired,LR Vicenza,"Jul 1, 2022",,,2016-2017
Leander Dendoncker,168157,€4.50m,"Jun 12, 2025","Apr 15, 1995",30,1.88,Belgium,Belgium,Defensive Midfield,"Central Midfield, Centre-Back",Aston Villa,,,"Sep 1, 2022","Jun 30, 2026",2016-2017
Landry Dimata,311489,€2.50m,"Jun 18, 2025","Sep 1, 1997",27,1.85,Belgium,,Centre-Forward,,Samsunspor,,,"Sep 1, 2023","Jun 30, 2026",2016-2017
Michalis Sifakis,16444,,,"Sep 9, 1984",40,1.87,Greece,Greece,Goalkeeper,,Retired,Samsunspor,"Jul 1, 2018",,,2016-2017
Ishak Belfodil,111039,€350k,"Jun 12, 2025","Jan 12, 1992",33,1.92,Algeria,"Algeria, France",Centre-Forward,"Right Winger, Left Winger",Without Club,IMT Belgrad,"Jul 1, 2025",,,2016-2017
Jordy Peffer,212574,,,"Nov 4, 1996",28,1.84,Belgium,Belgium,Centre-Forward,,Lyra-Lierse,,,"Jul 1, 2019","Jun 30, 2027",2016-2017
Jari Vandeputte,258827,€3.20m,"Jun 2, 2025","Feb 14, 1996",29,1.77,Belgium,Belgium,Left Winger,"Left Midfield, Attacking Midfield",Cremonese,,,"Jul 1, 2025","Jun 30, 2028",2016-2017
Anthony Bassey,233077,,,"Jul 20, 1994",30,1.69,Nigeria,,Right Midfield,,Without Club,Jura Dolois,"May 13, 2025",,,2016-2017
José María Cases,73070,,,"Nov 23, 1986",38,1.75,Spain,Spain,Attacking Midfield,"Left Winger, Right Winger",Retired,Callosa Dep.,"Jul 1, 2022",,,2016-2017
Tyron Ivanof,452300,,,"Jul 17, 1997",28,1.76,Belgium,"Belgium, Bulgaria",Attacking Midfield,"Left Winger, Right Winger",Retired,KV Kortrijk,"Jul 1, 2020",,,2016-2017
Ruslan Malinovskyi,207877,€2.50m,"Jun 17, 2025","May 4, 1993",32,1.81,Ukraine,,Attacking Midfield,,Genoa,,,"Jan 31, 2024","Jun 30, 2027",2016-2017
Fabien Tchenkoua,226290,,,"Oct 1, 1992",32,1.73,Cameroon,,Left Winger,,Rumilly B,,,"Aug 1, 2023",-,2016-2017
Ahmed Touba,325924,€2.50m,"Jun 12, 2025","Mar 13, 1998",27,1.9,Algeria,"France, Belgium, Algeria",Centre-Back,Left-Back,Panathinaikos,,,"Jul 1, 2025","Jun 30, 2028",2016-2017
Rubin Seigers,314980,€250k,"Jun 12, 2025","Jan 11, 1998",27,1.87,Belgium,,Centre-Back,,KVC Westerlo,,,"Jan 20, 2021","Jun 30, 2026",2016-2017
Marco Bizot,124884,€3.00m,"Jun 3, 2025","Mar 10, 1991",34,1.93,Netherlands,Netherlands,Goalkeeper,,Aston Villa,,,"Jul 15, 2025",-,2016-2017
Raoul Kenne,233082,€50k,"Apr 24, 2025","Mar 25, 1994",31,1.7,Cameroon,,Right-Back,,Patro Eisden,,,"Jul 18, 2018","Jun 30, 2025",2016-2017
Evariste Ngolok,62749,,,"Nov 15, 1988",36,1.78,Belgium,,Defensive Midfield,,Without Club,ÍBV,"Oct 17, 2019",,,2016-2017
Christian Brüls,38978,€75k,"Apr 24, 2025","Sep 30, 1988",36,1.79,Belgium,,Attacking Midfield,,SK Beveren,,,"Dec 26, 2024","Jun 30, 2026",2016-2017
Alessio Castro-Montes,340166,€5.00m,"Jun 12, 2025","May 17, 1997",28,1.75,Belgium,,Right Midfield,,Union SG,,,"Sep 2, 2023","Jun 30, 2026",2016-2017
Idrissa Sylla,110000,,,"Dec 3, 1990",34,1.87,Guinea,Guinea,Centre-Forward,"Right Winger, Left Winger",Without Club,Saint-Pryvé FC,"Jul 1, 2024",,,2016-2017
Alvin Segbia,398014,,,"Aug 20, 1996",28,1.76,DR Congo,,Right Winger,,RFC Meux,,,"Jul 1, 2025","Jun 30, 2026",2016-2017
Floriano Vanzo,201696,,,"Apr 28, 1994",31,1.8,Belgium,"Italy, Belgium",Attacking Midfield,"Right Winger, Central Midfield",RAAL U23,,,"Jul 1, 2025",-,2016-2017
Mathias Bossaerts,203329,,,"Jul 10, 1996",29,1.84,Belgium,,Centre-Back,,Retired,NEC U21,"Jul 7, 2022",,,2016-2017
Mbaye Leye,45161,,,"Dec 1, 1982",42,1.83,Senegal,,Centre-Forward,,Retired,Mouscron,"Jul 1, 2019",,,2016-2017
Mamadou Bagayoko,81897,,,"Dec 31, 1989",35,1.8,Cote d'Ivoire,,Right-Back,,Stade Everois,,,"Jul 1, 2025","Jun 30, 2026",2016-2017
Nils Schouterden,62700,,,"Dec 14, 1988",36,1.76,Belgium,,Left Midfield,,Retired,RFC Seraing,"Jul 1, 2025",,,2016-2017
Anthony Moris,78570,€1.80m,"Jun 12, 2025","Apr 29, 1990",35,1.86,Luxembourg,"Belgium, Luxembourg",Goalkeeper,,Al-Khaleej,,,"Jul 16, 2025",-,2016-2017
Diego Capel,27471,,,"Feb 16, 1988",37,1.73,Spain,,Left Winger,,Retired,PASA Irodotos,"Oct 24, 2023",,,2016-2017
Nicolae Stanciu,148372,€3.50m,"May 27, 2025","May 7, 1993",32,1.7,Romania,Romania,Attacking Midfield,"Central Midfield, Right Midfield",Genoa,,,"Jul 1, 2025","Jun 30, 2027",2016-2017
Lior Refaelov,24484,,,"Apr 26, 1986",39,1.73,Israel,,Attacking Midfield,,Retired,Maccabi Haifa,"Jul 1, 2025",,,2016-2017
Collins Fai,250638,€100k,"Jun 4, 2025","Aug 13, 1992",32,1.65,Cameroon,,Right-Back,,Without Club,Sloboda Tuzla,"Jul 1, 2025",,,2016-2017
Arnaud Bodart,417278,€2.50m,"Jun 2, 2025","Mar 11, 1998",27,1.86,Belgium,,Goalkeeper,,LOSC Lille,,,"Jul 1, 2025","Jun 30, 2027",2016-2017
Lewis Enoh,301815,,,"Oct 23, 1992",32,1.89,Cameroon,,Right Winger,,O Elvas,,,"Aug 4, 2023","Jun 30, 2026",2016-2017
Louis Verstraete,396841,€600k,"Jun 3, 2025","May 4, 1999",26,1.87,Belgium,,Defensive Midfield,,Auckland FC,,,"Sep 17, 2024","Jun 30, 2026",2016-2017
Dante Vanzeir,289648,€5.00m,"Jun 12, 2025","Apr 16, 1998",27,1.75,Belgium,Belgium,Centre-Forward,"Right Winger, Second Striker",KAA Gent,,,"Jan 24, 2025","Jun 30, 2028",2016-2017
Justin Verlinden,443983,,,"Apr 6, 1997",28,1.75,Belgium,Belgium,Goalkeeper,,Retired,Patro Eisden,"Jul 14, 2024",,,2016-2017
Uros Vitas,138512,€100k,"Jun 12, 2025","Jul 6, 1992",33,1.9,Serbia,"Serbia, Yugoslavia (Republic)",Centre-Back,,Radnicki Nis,,,"Jan 5, 2025",-,2016-2017
Tjörven Melens,380173,,,"Feb 3, 1997",28,1.8,Belgium,Belgium,Attacking Midfield,Central Midfield,Beveren (2022-),,,"Jul 1, 2025","Jun 30, 2026",2016-2017
Adrien Trébel,159622,€100k,"Apr 4, 2025","Mar 3, 1991",34,1.74,France,,Central Midfield,,Without Club,R Charleroi SC,"Jul 1, 2024",,,2016-2017
Joãozinho,138651,,,"Jul 2, 1989",36,1.85,Portugal,Portugal,Left-Back,"Left Midfield, Centre-Back",Oriental,,,"Jul 1, 2024","Jun 30, 2026",2016-2017
Dalibor Veselinović,46185,,,"Sep 21, 1987",37,1.98,Serbia,"Jugoslawien (SFR), Serbia",Centre-Forward,,Retired,Zrinjski Mostar,"Jul 1, 2019",,,2016-2017
Laurent Jans,163724,€300k,"Apr 24, 2025","Aug 5, 1992",32,1.78,Luxembourg,Luxembourg,Right-Back,"Left-Back, Right Midfield",SK Beveren,,,"Jul 4, 2024","Jun 30, 2026",2016-2017
Sven Kums,42735,,,"Feb 26, 1988",37,1.76,Belgium,Belgium,Central Midfield,"Defensive Midfield, Attacking Midfield",Retired,KAA Gent,"Jul 1, 2025",,,2016-2017
Marko Poletanovic,168957,€200k,"Jun 6, 2025","Jul 20, 1993",31,1.87,Serbia,"Serbia, Yugoslavia (Republic)",Defensive Midfield,"Central Midfield, Attacking Midfield",Vojvodina,,,"Jul 1, 2025","Jun 30, 2027",2016-2017
Gary Martin,142513,,,"Oct 10, 1990",34,1.8,England,"England, Iceland",Centre-Forward,Second Striker,Hebburn Town,,,"Jul 1, 2025",-,2016-2017
Kevin Vandendriessche,174285,,,"Aug 7, 1989",35,1.83,France,France,Defensive Midfield,"Central Midfield, Centre-Back",Retired,Francs Borains,"Jul 1, 2024",,,2016-2017
Mohamed Amelhaf,452308,,,"Nov 25, 1997",27,1.8,France,"France, Morocco",Left Winger,Right Winger,Without Club,Stade-Payerne,"Jan 1, 2025",,,2016-2017
Jules Van Cleemput,384280,,,"Apr 11, 1997",28,1.81,Belgium,,Right-Back,,Retired,KV Mechelen,"Feb 28, 2025",,,2016-2017
Benjamin Tetteh,306382,€1.00m,"May 27, 2025","Jul 10, 1997",28,1.93,Ghana,Ghana,Centre-Forward,,NK Maribor,,,"Jul 1, 2025","May 31, 2027",2016-2017
Elias Cobbaut,419723,€2.00m,"Jun 17, 2025","Nov 24, 1997",27,1.88,Belgium,,Centre-Back,,Sparta Prague,,,"Sep 2, 2024",-,2016-2017
Brian Hämäläinen,61336,,,"May 29, 1989",36,1.76,Denmark,,Left-Back,,Retired,Lyngby BK,"Jul 1, 2025",,,2016-2017
Jacob Rinne,210528,€550k,"Jun 18, 2025","Jun 20, 1993",32,1.87,Sweden,Sweden,Goalkeeper,,Djurgården,,,"Aug 12, 2024","Dec 31, 2028",2016-2017
Lucas Rougeaux,226288,,,"Mar 10, 1994",31,1.85,France,France,Centre-Back,Right-Back,Retired,KV Kortrijk,"Nov 15, 2022",,,2016-2017
Cristian Cuevas,186863,€800k,"Jun 30, 2025","Apr 2, 1995",30,1.72,Chile,Chile,Left Winger,"Left-Back, Central Midfield",U. Católica,,,"Feb 1, 2022","Dec 31, 2026",2016-2017
Randall Leal,297786,€1.50m,"Jun 5, 2025","Jan 14, 1997",28,1.7,Costa Rica,,Left Winger,,D.C. United,,,"Jan 14, 2025","Dec 31, 2025",2016-2017
Bryan Heynen,356081,€11.00m,"Jun 12, 2025","Feb 6, 1997",28,1.83,Belgium,Belgium,Central Midfield,Defensive Midfield,KRC Genk,,,"Jul 1, 2015","Jun 30, 2029",2016-2017
Yohan Croizet,195910,€350k,"May 28, 2025","Feb 15, 1992",33,1.8,France,France,Attacking Midfield,"Second Striker, Centre-Forward",Zalaegerszeg,,,"Jul 17, 2024","Jun 30, 2026",2016-2017
Valtteri Moren,123595,,,"Jun 15, 1991",34,1.88,Finland,,Centre-Back,,Retired,HJK Helsinki,"Jan 1, 2024",,,2016-2017
Isaac Mbenza,260806,€800k,"Jun 12, 2025","Mar 8, 1996",29,1.88,Belgium,"France, Belgium, DR Congo",Right Winger,"Left Winger, Centre-Forward",R Charleroi SC,,,"Mar 14, 2022","Jun 30, 2026",2016-2017
Dieter Creemers,285946,,,"Sep 2, 1997",27,1.92,Belgium,,Goalkeeper,,Lutlommel VV,,,"Jul 1, 2023",-,2016-2017
Timmy Simons,3441,,,"Dec 11, 1976",48,1.86,Belgium,,Defensive Midfield,,Retired,Club Brugge,"Jul 1, 2018",,,2016-2017
Soma Novothny,148824,€200k,"Jun 6, 2025","Jun 16, 1994",31,1.85,Hungary,,Centre-Forward,,Kisvárda,,,"Jul 1, 2025","Jun 30, 2027",2016-2017
Glenn Claes,129579,€200k,"Apr 24, 2025","Mar 8, 1994",31,1.79,Belgium,,Attacking Midfield,,Beerschot VA,,,"Jul 10, 2025","Jun 30, 2026",2016-2017
Kalifa Coulibaly,184935,€200k,"Jun 2, 2025","Aug 21, 1991",33,1.97,Mali,,Centre-Forward,,Without Club,SM Caen,"Jul 1, 2025",,,2016-2017
Yassine El Ghanassy,90368,,,"Jul 12, 1990",35,1.73,Belgium,"Belgium, Morocco",Left Winger,Right Winger,Without Club,APS Zakynthos,"Jul 1, 2022",,,2016-2017
Teddy Chevalier,57514,,,"Jun 28, 1987",38,,France,France,Centre-Forward,"Right Winger, Second Striker",Saint-Amand,,,"Jul 1, 2025","Jun 30, 2026",2016-2017
Yuji Ono,155761,€300k,"May 29, 2025","Dec 22, 1992",32,1.7,Japan,,Centre-Forward,,Albirex Niigata,,,"Jan 8, 2024","Jan 31, 2026",2016-2017
Odeni George,274074,€200k,"Nov 15, 2024","May 18, 1995",30,1.73,Nigeria,,Defensive Midfield,,Al-Qasim SC,,,"Jan 16, 2024",-,2016-2017
Timothy Castagne,262226,€13.00m,"May 30, 2025","Dec 5, 1995",29,1.85,Belgium,,Right-Back,,Fulham,,,"Aug 29, 2023","Jun 30, 2027",2016-2017
Sebastien Ito,436417,,,"May 11, 1996",29,1.78,Belgium,"Congo, Belgium",Defensive Midfield,Centre-Back,Svelta Melsele,,,"Jul 1, 2020",-,2016-2017
Guy Dufour,40407,,,"Mar 14, 1987",38,1.77,Belgium,,Central Midfield,,Without Club,FC Wezel Sport,"Jul 1, 2024",,,2016-2017
Jens Naessens,147265,,,"Apr 1, 1991",34,1.87,Belgium,,Centre-Forward,,SK Roeselare,,,"Aug 31, 2024","Jun 30, 2026",2016-2017
Laurent Henkinet,157125,,,"Sep 14, 1992",32,1.88,Belgium,,Goalkeeper,,Retired,Standard Liège,"Jul 2, 2025",,,2016-2017
Zinho Gano,182446,€700k,"Jun 24, 2025","Oct 13, 1993",31,1.98,Guinea-Bissau,,Centre-Forward,,Al-Hazem,,,"Aug 1, 2024",-,2016-2017
Stijn De Smet,22067,,,"Mar 27, 1985",40,1.84,Belgium,Belgium,Attacking Midfield,"Right Winger, Left Winger",Retired,Zwevezele,"Dec 10, 2020",,,2016-2017
